protA,protB
Q9NUX5,Q9NYB0
P25791,Q02577
P25791,Q86U70
P25791,Q9BXY8
Q02577,Q86U70
Q02577,Q9BXY8
Q86U70,Q9BXY8
P35613,P49768
P35613,Q92542
P35613,Q96BI3
P35613,Q9NZ42
O00213,P05067
O00213,Q07954
P05067,Q07954
O43747,Q63HQ0
O75843,Q63HQ0
P56377,Q63HQ0
P61966,Q63HQ0
Q10567,Q63HQ0
Q63HQ0,Q96PC3
Q63HQ0,Q9BXS5
Q63HQ0,Q9Y6Q5
O96019,P51532
O96019,P60709
O96019,Q12824
O96019,Q68CP9
O96019,Q86U86
O96019,Q8TAQ2
O96019,Q92922
O96019,Q969G3
O96019,Q96GM5
P51532,Q68CP9
P51532,Q86U86
P60709,Q68CP9
P60709,Q86U86
Q12824,Q68CP9
Q12824,Q86U86
Q68CP9,Q86U86
Q68CP9,Q8TAQ2
Q68CP9,Q92922
Q68CP9,Q969G3
Q68CP9,Q96GM5
Q86U86,Q8TAQ2
Q86U86,Q92922
Q86U86,Q969G3
Q86U86,Q96GM5
O00268,P20226
O00268,P21675
O00268,P49848
O00268,Q12962
O00268,Q15542
O00268,Q15544
O00268,Q16594
O00268,Q6P1X5
P20226,P21675
P20226,P49848
P20226,Q12962
P20226,Q15542
P20226,Q15544
P20226,Q16594
P20226,Q6P1X5
P21675,P49848
P21675,Q12962
P21675,Q15542
P21675,Q15544
P21675,Q16594
P21675,Q6P1X5
P49848,Q12962
P49848,Q15542
P49848,Q15544
P49848,Q16594
P49848,Q6P1X5
Q12962,Q15542
Q12962,Q15544
Q12962,Q16594
Q12962,Q6P1X5
Q15542,Q15544
Q15542,Q16594
Q15542,Q6P1X5
Q15544,Q16594
Q15544,Q6P1X5
Q16594,Q6P1X5
P57678,Q86TM6
P57678,Q9BUN8
Q86TM6,Q9BUN8
O95347,P09874
O95347,P18887
P09874,P18887
P09874,Q15003
P09874,Q15021
P09874,Q9BPX3
P09874,Q9NTJ3
P18887,Q15003
P18887,Q15021
P18887,Q9BPX3
P18887,Q9NTJ3
O95347,P42695
O95347,Q6IBW4
O95347,Q86XI2
P42695,Q6IBW4
P42695,Q86XI2
P42695,Q9NTJ3
Q6IBW4,Q86XI2
Q6IBW4,Q9NTJ3
Q86XI2,Q9NTJ3
P83436,Q14746
P83436,Q8WTW3
P83436,Q96JB2
P83436,Q96MW5
P83436,Q9H9E3
P83436,Q9UP83
P83436,Q9Y2V7
Q14746,Q8WTW3
Q14746,Q96JB2
Q14746,Q96MW5
Q14746,Q9H9E3
Q14746,Q9UP83
Q14746,Q9Y2V7
Q8WTW3,Q96JB2
Q8WTW3,Q96MW5
Q8WTW3,Q9H9E3
Q8WTW3,Q9UP83
Q8WTW3,Q9Y2V7
Q96JB2,Q96MW5
Q96JB2,Q9H9E3
Q96JB2,Q9UP83
Q96JB2,Q9Y2V7
Q96MW5,Q9H9E3
Q96MW5,Q9UP83
Q96MW5,Q9Y2V7
Q9H9E3,Q9UP83
Q9H9E3,Q9Y2V7
Q9UP83,Q9Y2V7
O15294,O60296
O15294,Q9UPV9
O60296,Q9UPV9
O00217,O00483
O00217,O14561
O00217,O15239
O00217,O43181
O00217,O43674
O00217,O43676
O00217,O43677
O00217,O43678
O00217,O43920
O00217,O75251
O00217,O75306
O00217,O75380
O00217,O75438
O00217,O75489
O00217,O95139
O00217,O95167
O00217,O95168
O00217,O95169
O00217,O95178
O00217,O95182
O00217,O95298
O00217,O95299
O00217,O96000
O00217,P03886
O00217,P03891
O00217,P03897
O00217,P03901
O00217,P03915
O00217,P03923
O00217,P17568
O00217,P19404
O00217,P28331
O00217,P49821
O00217,P51970
O00217,P56181
O00217,P56556
O00217,Q16718
O00217,Q16795
O00217,Q86Y39
O00217,Q9NX14
O00217,Q9P0J0
O00217,Q9UI09
O00217,Q9Y6M9
O00483,O14561
O00483,O15239
O00483,O43181
O00483,O43674
O00483,O43676
O00483,O43677
O00483,O43678
O00483,O43920
O00483,O75251
O00483,O75306
O00483,O75380
O00483,O75438
O00483,O75489
O00483,O95139
O00483,O95167
O00483,O95168
O00483,O95169
O00483,O95178
O00483,O95182
O00483,O95298
O00483,O95299
O00483,O96000
O00483,P03886
O00483,P03891
O00483,P03897
O00483,P03901
O00483,P03915
O00483,P03923
O00483,P17568
O00483,P19404
O00483,P28331
O00483,P49821
O00483,P51970
